geo,name,Year,Population,Very serious threat,Somewhat serious threat ,Overall is threat
afg,Afghanistan,2021,39835428,37%,45%,81%
alb,Albania,2021,2872934,64%,22%,86%
dza,Algeria,2021,44616626,35%,41%,76%
arg,Argentina,2021,45605823,71%,19%,89%
arm,Armenia,2021,2968128,39%,31%,70%
aus,Australia,2021,25788217,54%,28%,81%
aut,Austria,2021,9043072,64%,26%,89%
bgd,Bangladesh,2021,166303494,43%,18%,61%
bel,Belgium,2021,11632334,43%,39%,82%
ben,Benin,2021,12451031,53%,21%,74%
bol,Bolivia,2021,11832936,74%,16%,89%
bih,Bosnia and Herzegovina,2021,3263459,58%,24%,82%
bra,Brazil,2021,213993441,77%,13%,90%
bgr,Bulgaria,2021,6896655,47%,32%,79%
bfa,Burkina Faso,2021,21497097,50%,29%,79%
khm,Cambodia,2021,16946446,29%,33%,62%
cmr,Cameroon,2021,27224262,44%,28%,73%
can,Canada,2021,38067913,62%,24%,86%
chl,Chile,2021,19212362,86%,7%,93%
chn,China,2021,1444216102,23%,41%,63%
col,Colombia,2021,51265841,69%,13%,82%
cog,"Congo, Rep.",2021,5657017,42%,17%,59%
cri,Costa Rica,2021,5139053,74%,12%,86%
civ,Cote d'Ivoire,2021,27053629,53%,25%,78%
hrv,Croatia,2021,4081657,70%,22%,92%
cyp,Cyprus,2021,1215588,76%,13%,89%
cze,Czech Republic,2021,10724553,49%,39%,88%
dnk,Denmark,2021,5813302,35%,49%,85%
dom,Dominican Republic,2021,10953714,49%,13%,62%
ecu,Ecuador,2021,17888474,65%,18%,83%
egy,Egypt,2021,104258327,15%,36%,52%
slv,El Salvador,2021,6518500,58%,13%,71%
est,Estonia,2021,1325188,30%,50%,80%
fin,Finland,2021,5548361,35%,54%,89%
fra,France,2021,65426177,60%,33%,93%
gab,Gabon,2021,2278829,42%,36%,78%
geo,Georgia,2021,3979773,64%,24%,89%
deu,Germany,2021,83900471,62%,32%,94%
gha,Ghana,2021,31732128,44%,28%,71%
grc,Greece,2021,10370747,81%,13%,94%
gin,Guinea,2021,13497237,51%,25%,76%
hnd,Honduras,2021,10062994,56%,13%,69%
hkg,"Hong Kong, China",2021,7552800,24%,58%,82%
hun,Hungary,2021,9634162,64%,28%,92%
isl,Iceland,2021,343360,38%,44%,82%
ind,India,2021,1393409033,40%,24%,64%
idn,Indonesia,2021,276361788,33%,25%,58%
irn,Iran,2021,85028760,44%,27%,71%
irq,Iraq,2021,41179351,39%,25%,64%
irl,Ireland,2021,4982904,65%,27%,91%
isr,Israel,2021,8789776,33%,40%,73%
ita,Italy,2021,60367471,69%,26%,95%
jam,Jamaica,2021,2973462,47%,8%,55%
jpn,Japan,2021,126050796,58%,35%,93%
jor,Jordan,2021,10269022,20%,32%,52%
kaz,Kazakhstan,2021,18994958,30%,28%,58%
ken,Kenya,2021,54985702,56%,19%,75%
kgz,Kyrgyz Republic,2021,6628347,44%,32%,76%
lao,Lao,2021,7379358,24%,15%,40%
lva,Latvia,2021,1866934,34%,38%,73%
lbn,Lebanon,2021,6769151,25%,45%,70%
ltu,Lithuania,2021,2689862,31%,50%,80%
mkd,"Macedonia, FYR",2021,2082662,64%,20%,83%
mys,Malaysia,2021,32776195,51%,28%,79%
mli,Mali,2021,20855724,54%,23%,77%
mlt,Malta,2021,442790,62%,21%,83%
mus,Mauritius,2021,1273428,48%,37%,85%
mex,Mexico,2021,130262220,69%,18%,87%
mda,Moldova,2021,4024025,45%,31%,76%
mng,Mongolia,2021,3329282,30%,42%,72%
mar,Morocco,2021,37344787,41%,14%,54%
moz,Mozambique,2021,32163045,42%,12%,55%
mmr,Myanmar,2021,54806014,22%,40%,61%
nam,Namibia,2021,2587344,47%,16%,63%
npl,Nepal,2021,29674920,42%,18%,60%
nld,Netherlands,2021,17173094,47%,40%,87%
nzl,New Zealand,2021,4860642,44%,35%,79%
nic,Nicaragua,2021,6702379,56%,11%,67%
nga,Nigeria,2021,211400704,37%,23%,60%
nor,Norway,2021,5465629,49%,39%,89%
pak,Pakistan,2021,225199929,31%,35%,66%
pan,Panama,2021,4381583,62%,16%,77%
pry,Paraguay,2021,7219641,50%,20%,71%
per,Peru,2021,33359416,63%,21%,83%
phl,Philippines,2021,111046910,70%,18%,87%
pol,Poland,2021,37797000,69%,16%,85%
prt,Portugal,2021,10167923,79%,15%,94%
rou,Romania,2021,19127772,78%,9%,87%
rus,Russia,2021,145912022,37%,31%,67%
sau,Saudi Arabia,2021,35340680,8%,21%,30%
sen,Senegal,2021,17196308,48%,27%,75%
srb,Serbia,2021,8697547,63%,22%,86%
sle,Sierra Leone,2021,8141343,64%,10%,74%
sgp,Singapore,2021,5896684,52%,27%,79%
svk,Slovak Republic,2021,5460726,65%,27%,92%
svn,Slovenia,2021,2078723,58%,32%,90%
zaf,South Africa,2021,60041996,48%,17%,65%
kor,South Korea,2021,51305184,63%,30%,93%
esp,Spain,2021,46745211,80%,15%,95%
lka,Sri Lanka,2021,21497306,48%,34%,82%
swe,Sweden,2021,10160159,50%,39%,89%
che,Switzerland,2021,8715494,58%,37%,95%
twn,Taiwan,2021,23855008,57%,35%,92%
tjk,Tajikistan,2021,9749625,37%,29%,66%
tza,Tanzania,2021,61498438,36%,19%,56%
tha,Thailand,2021,69950844,43%,37%,80%
tgo,Togo,2021,8478242,53%,28%,81%
tun,Tunisia,2021,11935764,34%,30%,64%
tur,Turkey,2021,85042736,68%,19%,86%
uga,Uganda,2021,47123533,57%,19%,76%
ukr,Ukraine,2021,43466822,55%,25%,80%
are,United Arab Emirates,2021,9991083,28%,23%,51%
gbr,United Kingdom,2021,68207114,70%,22%,92%
usa,United States,2021,332915074,50%,22%,73%
ury,Uruguay,2021,3485152,61%,23%,84%
uzb,Uzbekistan,2021,33935765,26%,36%,62%
ven,Venezuela,2021,28704947,61%,18%,78%
vnm,Vietnam,2021,98168829,67%,25%,92%
zmb,Zambia,2021,18920657,52%,15%,67%
zwe,Zimbabwe,2021,15092171,50%,25%,75%
